dataset,samples,features,classes,ratio,tags
breastcan,683,9,2,2,binary multi-feature
wisconsin,699,9,2,2,binary multi-feature
ionosphere,351,34,2,2,binary multi-feature
soybean,47,20,4,2,multi-class multi-feature
breastcancoimbra,116,9,2,1,binary multi-feature
sonar,208,60,2,1,binary multi-feature
digit,10992,17,10,1,multi-class multi-feature
balance,625,4,3,6,multi-class imbalanced
monkone,556,6,2,1,binary
heart,270,13,2,1,binary multi-feature
australian,690,14,2,1,binary multi-feature
banknote,1372,4,2,1,binary
spambase,4601,57,2,2,binary multi-feature
liver,345,6,2,1,binary
waveform,5000,21,3,1,multi-class multi-feature
popfailures,540,20,2,11,binary multi-feature imbalanced
hayes,160,4,3,2,multi-class
german,1000,24,2,2,binary multi-feature
iris,150,4,3,1,multi-class
wine,178,13,3,1,multi-class multi-feature
diabetes,768,8,2,2,binary multi-feature
yeast3,1484,8,2,8,binary multi-feature imbalanced
cryotherapy,90,6,2,1,binary
breasttissue,106,9,6,2,multi-class multi-feature
monkthree,554,6,2,1,binary
